Static,Options,Cycles,Real,User,Sys
0,O0,100000,16.83,5.01,0.00
0,O0,300000,33.58,14.95,0.00
0,O0,500000,77.93,55.23,0.00
1,O0,100000,15.89,5.06,0.00
1,O0,300000,31.95,14.85,0.00
1,O0,500000,78.77,55.25,0.00
0,O1,100000,8.43,2.62,0.00
0,O1,300000,21.95,7.86,0.00
0,O1,500000,65.62,40.14,0.00
1,O1,100000,9.66,2.62,0.00
1,O1,300000,22.70,7.93,0.00
1,O1,500000,64.45,40.15,0.00
0,O2,100000,8.65,2.24,0.00
0,O2,300000,17.69,6.73,0.00
0,O2,500000,59.69,38.25,0.00
1,O2,100000,8.81,2.29,0.00
1,O2,300000,19.43,6.72,0.00
1,O2,500000,61.52,38.26,0.00
0,O3,100000,6.82,1.90,0.00
0,O3,300000,16.14,5.59,0.00
0,O3,500000,59.60,35.68,0.00
1,O3,100000,6.61,1.86,0.00
1,O3,300000,18.07,5.62,0.00
1,O3,500000,56.94,35.68,0.00
0,Os,100000,8.62,2.41,0.00
0,Os,300000,20.41,7.23,0.00
0,Os,500000,62.83,39.25,0.00
1,Os,100000,9.18,2.41,0.00
1,Os,300000,21.86,7.23,0.00
1,Os,500000,59.30,39.12,0.00
